digits=40000000000 size=1 RNS_STRATEGY=C ECALC_PLANE_CAP=2^31 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    66.08 s   (bs 25.5 + 10dP 0.1 + dm 22.7 + T1 0.0 + dc 0.0 + T2 0.0 = 48.2; init 17.9; other 0.0); VmHWM 12.2 GB | device 236.0 GB (max in use 236.0) VERIFY tag=s1_C_2_31_r1
digits=40000000000 size=1 RNS_STRATEGY=C ECALC_PLANE_CAP=2^31 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    62.86 s   (bs 25.3 + 10dP 0.1 + dm 22.4 + T1 0.0 + dc 0.0 + T2 0.0 = 47.8; init 15.0; other 0.0); VmHWM 12.1 GB | device 236.0 GB (max in use 236.0) VERIFY tag=s1_C_2_31_r2
digits=40000000000 size=1 RNS_STRATEGY=C ECALC_PLANE_CAP=2^31 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    64.57 s   (bs 25.6 + 10dP 0.1 + dm 22.6 + T1 0.0 + dc 0.0 + T2 0.0 = 48.3; init 16.3; other 0.0); VmHWM 12.1 GB | device 236.0 GB (max in use 236.0) VERIFY tag=s1_C_2_31_r3
digits=40000000000 size=1 RNS_STRATEGY=C ECALC_PLANE_CAP=3*2^29 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    70.60 s   (bs 27.9 + 10dP 0.1 + dm 28.7 + T1 0.0 + dc 0.0 + T2 0.0 = 56.7; init 13.9; other 0.0); VmHWM 12.1 GB | device 202.1 GB (max in use 202.1) VERIFY tag=s1_C_3_2_29_r1
digits=40000000000 size=1 RNS_STRATEGY=C ECALC_PLANE_CAP=3*2^29 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    71.26 s   (bs 27.9 + 10dP 0.1 + dm 28.9 + T1 0.0 + dc 0.0 + T2 0.0 = 56.9; init 14.4; other 0.0); VmHWM 12.1 GB | device 202.1 GB (max in use 202.1) VERIFY tag=s1_C_3_2_29_r2
digits=40000000000 size=1 RNS_STRATEGY=C ECALC_PLANE_CAP=3*2^29 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    71.44 s   (bs 27.9 + 10dP 0.1 + dm 28.9 + T1 0.0 + dc 0.0 + T2 0.0 = 56.8; init 14.6; other 0.0); VmHWM 12.1 GB | device 202.1 GB (max in use 202.1) VERIFY tag=s1_C_3_2_29_r3
digits=40000000000 size=1 RNS_STRATEGY=C ECALC_PLANE_CAP=3*2^30 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    64.49 s   (bs 23.6 + 10dP 0.1 + dm 20.7 + T1 0.0 + dc 0.0 + T2 0.0 = 44.3; init 20.1; other 0.0); VmHWM 12.1 GB | device 287.5 GB (max in use 287.5) VERIFY tag=s1_C_3_2_30_r1
digits=40000000000 size=1 RNS_STRATEGY=C ECALC_PLANE_CAP=3*2^30 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    65.35 s   (bs 23.5 + 10dP 0.1 + dm 20.8 + T1 0.0 + dc 0.0 + T2 0.0 = 44.3; init 21.1; other 0.0); VmHWM 12.1 GB | device 287.5 GB (max in use 287.5) VERIFY tag=s1_C_3_2_30_r2
digits=40000000000 size=1 RNS_STRATEGY=C ECALC_PLANE_CAP=3*2^30 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    60.57 s   (bs 23.2 + 10dP 0.1 + dm 20.5 + T1 0.0 + dc 0.0 + T2 0.0 = 43.8; init 16.8; other 0.0); VmHWM 12.1 GB | device 287.5 GB (max in use 287.5) VERIFY tag=s1_C_3_2_30_r3
digits=40000000000 size=1 RNS_STRATEGY=auto ECALC_PLANE_CAP=2^30 NTT_B1R=3 NTT_PLAN=1 ECALC_NP=3 NTT_MODMUL=1 | total    84.78 s   (bs 32.2 + 10dP 0.1 + dm 40.2 + T1 0.0 + dc 0.0 + T2 0.0 = 72.5; init 12.3; other 0.0); VmHWM 12.1 GB | device 184.9 GB (max in use 184.9) VERIFY tag=s1_auto_2_30_r1
